DELIVERY_DATE,GATE_OPEN_TIME,GATE_CLOSURE_TIME,ALLOCATION_DEADLINE,TYPE_OF_RESERVES,PRODUCT,TOTAL_DEMAND_[MW],measurement_name
2024-02-05,2024-02-04 09:18:52.467,2024-02-05 03:50:00,2024-02-05 04:05:00,aFRR,NEG_018,1775,energy_afrr_demand
2024-02-05,2024-02-04 09:18:50.482,2024-02-05 04:05:00,2024-02-05 04:20:00,aFRR,NEG_019,1775,energy_afrr_demand
2024-02-05,2024-02-04 09:19:05.466,2024-02-05 04:20:00,2024-02-05 04:35:00,aFRR,NEG_020,1775,energy_afrr_demand
2024-02-05,2024-02-04 09:18:56.041,2024-02-05 04:35:00,2024-02-05 04:50:00,aFRR,NEG_021,1775,energy_afrr_demand
2024-02-05,2024-02-04 09:18:52.435,2024-02-05 04:50:00,2024-02-05 05:05:00,aFRR,NEG_022,1775,energy_afrr_demand
2024-02-05,2024-02-04 09:18:41.963,2024-02-05 05:05:00,2024-02-05 05:20:00,aFRR,NEG_023,1775,energy_afrr_demand
2024-02-05,2024-02-04 09:19:05.694,2024-02-05 05:20:00,2024-02-05 05:35:00,aFRR,NEG_024,1775,energy_afrr_demand
2024-02-05,2024-02-04 09:18:46.775,2024-02-05 05:35:00,2024-02-05 05:50:00,aFRR,NEG_025,1775,energy_afrr_demand
2024-02-05,2024-02-04 09:18:38.744,2024-02-05 05:50:00,2024-02-05 06:05:00,aFRR,NEG_026,1775,energy_afrr_demand
2024-02-05,2024-02-04 09:18:38.806,2024-02-05 06:05:00,2024-02-05 06:20:00,aFRR,NEG_027,1775,energy_afrr_demand
2024-02-05,2024-02-04 09:18:52.435,2024-02-05 06:20:00,2024-02-05 06:35:00,aFRR,NEG_028,1775,energy_afrr_demand
2024-02-05,2024-02-04 09:18:51.867,2024-02-05 06:35:00,2024-02-05 06:50:00,aFRR,NEG_029,1775,energy_afrr_demand
2024-02-05,2024-02-04 09:18:42.049,2024-02-05 06:50:00,2024-02-05 07:05:00,aFRR,NEG_030,1775,energy_afrr_demand
2024-02-05,2024-02-04 09:19:05.619,2024-02-05 07:05:00,2024-02-05 07:20:00,aFRR,NEG_031,1775,energy_afrr_demand
2024-02-05,2024-02-04 09:18:40.185,2024-02-05 07:20:00,2024-02-05 07:35:00,aFRR,NEG_032,1775,energy_afrr_demand
2024-02-05,2024-02-04 09:19:05.622,2024-02-05 07:35:00,2024-02-05 07:50:00,aFRR,NEG_033,1867,energy_afrr_demand
